experiment,model,MAE,RMSE,R2,F1,Accuracy,Precision,Recall
Naive_position,Naive Mean,4.990605427974947,5.755953621050353,-1.187262547475143e-05,,,,
Naive_points,Naive Mean,5.903211273486431,7.224365173118813,-2.0624784933254148e-05,,,,
Naive_points_finish,Naive Majority,,,,0.0,0.4989561586638831,0.0,0.0
LR_posotion,Linear Regression,2.9527316857711012,3.8014313787896787,0.5638208569938896,,,,
LR_points,Linear Regression,2.8116467500558535,4.3647031771656035,0.6349780289009241,,,,
Logit_points_finish,Logistic Regression,,,,0.8217391304347826,0.8288100208768268,0.8590909090909091,0.7875
RF_position,Random Forest,3.124755905848832,3.972800990919222,0.523608279065056,,,,
RF_points_finish,Random Forest,,,,0.832271762208068,0.8350730688935282,0.8484848484848485,0.8166666666666667
GB_position,Gradient Boosting,3.4737174192673863,4.347972090370252,0.42938382307473355,,,,
GB_points_finish,Gradient Boosting,,,,0.7935871743486974,0.7849686847599165,0.7644787644787645,0.825
XGB_position,XGBoost,3.1892642974853516,4.046060016120959,0.5058768391609192,,,,
XGB_points_finish,XGBoost,,,,0.826722338204593,0.826722338204593,0.8284518828451883,0.825
RF_points,Random Forest,,,,0.826722338204593,0.826722338204593,0.8284518828451883,0.825
GB_points,Gradient Boosting,3.194993314211753,4.813565346089219,0.5560405340476439,,,,
XGB_points,XGBoost,2.8734753808562714,4.493166459135038,0.6131749476121303,,,,
